frame,waist,left_hand,right_hand,left_foot,right_foot
0,1,1,1,2,2
1,1,1,1,2,2
2,1,1,1,2,2
3,1,1,1,2,2
4,1,1,1,2,2
5,1,1,1,2,2
6,1,1,1,2,2
7,1,1,1,2,2
8,1,1,1,2,2
9,1,1,1,2,2
10,1,1,1,2,2
11,1,1,1,2,2
12,1,1,1,2,2
13,1,1,1,2,2
14,1,1,1,2,2
15,1,1,1,2,2
16,1,1,1,2,2
17,1,1,1,2,2
18,1,1,1,2,2
19,1,1,1,2,2
20,1,1,1,2,2
21,1,1,1,2,2
22,1,1,1,2,2
23,1,1,1,2,2
24,1,1,1,2,2
25,1,1,1,2,2
26,1,1,1,2,2
27,1,1,1,2,2
28,1,1,1,2,2
29,1,1,1,2,2
30,1,1,1,2,2
31,1,1,1,2,2
32,1,1,1,2,2
33,1,1,1,2,2
34,1,1,1,2,2
35,1,1,1,2,2
36,1,1,1,2,2
37,1,1,1,2,2
38,1,1,1,2,2
39,1,1,1,2,2
40,1,1,1,2,2
41,1,1,1,2,2
42,1,1,1,2,2
43,1,1,1,2,2
44,1,1,1,2,2
45,1,1,1,2,2
46,1,1,1,2,2
47,1,1,1,2,2
48,1,1,1,2,2
49,1,1,1,2,2
50,1,1,1,2,2
51,1,1,1,2,2
52,1,1,1,2,2
53,1,1,1,2,2
54,1,1,1,2,2
55,1,1,1,2,2
56,1,1,1,2,2
57,1,1,1,2,2
58,1,1,1,2,2
59,1,1,1,2,2
60,1,1,1,2,2
61,1,1,1,2,2
62,1,1,1,2,2
63,1,1,1,2,2
64,1,1,1,2,2
65,1,1,1,2,2
66,1,1,1,2,2
67,1,1,1,2,2
68,1,1,1,2,2
69,1,1,1,2,2
70,1,1,1,2,2
71,1,1,1,2,2
72,1,1,1,2,2
73,1,1,1,2,2
74,1,1,1,2,2
75,1,1,1,2,2
76,1,1,1,2,2
77,1,1,1,2,2
78,1,1,1,2,2
79,1,1,1,2,2
80,1,1,1,2,2
81,1,1,1,2,2
82,1,1,1,2,2
83,1,1,1,2,2
84,1,1,1,2,2
85,1,1,1,2,2
86,1,1,1,2,2
87,1,1,1,2,2
88,1,1,1,2,2
89,1,1,1,2,2
90,1,1,1,2,2
91,1,1,1,2,2
92,1,1,1,2,2
93,1,1,1,2,2
94,1,1,1,2,2
95,1,1,1,2,2
96,1,1,1,2,2
97,1,1,1,2,2
98,1,1,1,2,2
99,1,1,1,2,2
100,1,1,1,2,2
101,1,1,1,2,2
102,1,1,1,2,2
103,1,1,1,2,2
104,1,1,1,2,2
105,1,1,1,2,2
106,1,1,1,2,2
107,1,1,1,2,2
108,1,1,1,2,2
109,1,1,1,2,2
110,1,1,1,2,2
111,1,1,1,2,2
112,1,1,1,2,2
113,1,1,1,2,2
114,1,1,1,2,2
115,1,1,1,2,2
116,1,1,1,2,2
117,1,1,1,2,2
118,1,1,1,2,2
119,1,1,1,2,2
120,1,1,1,2,2
121,1,1,1,2,2
122,1,1,1,2,2
123,1,1,1,2,2
124,1,1,1,2,2
125,1,1,1,2,2
126,1,1,1,2,2
127,1,1,1,2,2
128,1,1,1,2,2
129,1,1,1,2,2
130,1,1,1,2,2
131,1,1,1,2,2
132,1,1,1,2,2
133,1,1,1,2,2
134,1,1,1,2,2
135,1,1,1,2,2
136,1,1,1,2,2
137,1,1,1,2,2
138,1,1,1,2,2
139,1,1,1,2,2
140,1,1,1,2,2
141,1,1,1,2,2
142,1,1,1,2,2
143,1,1,1,2,2
144,1,1,1,2,2
145,1,1,1,2,2
146,1,1,1,2,2
147,1,1,1,2,2
148,1,1,1,2,2
149,1,1,1,2,2
150,1,1,1,2,2
151,1,1,1,2,2
152,1,1,1,2,2
153,1,1,1,2,2
154,1,1,1,2,2
155,1,1,1,2,2
156,1,1,1,2,2
157,1,1,1,2,2
158,1,1,1,2,2
159,1,1,1,2,2
160,1,1,1,2,2
161,1,1,1,2,2
162,1,1,1,2,2
163,1,1,1,2,2
164,1,1,1,2,2
165,1,1,1,2,2
166,1,1,1,2,2
167,1,1,1,2,2
168,1,1,1,2,2
169,1,1,1,2,2
170,1,1,1,2,2
171,1,1,1,2,2
172,1,1,1,2,2
173,1,1,1,2,2
174,1,1,1,2,2
175,1,1,1,2,2
176,1,1,1,2,2
177,1,1,1,2,2
178,1,1,1,2,2
179,1,1,1,2,2
180,1,1,1,2,2
