frame,waist,left_hand,right_hand,left_foot,right_foot
0,3,3,3,2,2
1,3,3,3,2,2
2,3,3,3,2,2
3,3,3,3,2,2
4,3,3,3,2,2
5,3,3,3,2,2
6,3,3,3,2,2
7,3,3,3,2,2
8,3,3,3,2,2
9,3,3,3,2,2
10,3,3,3,2,2
11,3,3,3,2,2
12,3,3,3,2,2
13,3,3,3,2,2
14,3,3,3,2,2
15,3,3,3,2,2
16,3,3,3,2,2
17,3,3,3,2,2
18,3,3,3,2,2
19,3,3,3,2,2
20,3,3,3,2,2
21,3,3,3,2,2
22,3,3,3,2,2
23,3,3,3,2,2
24,3,3,3,2,2
25,3,3,3,2,2
26,3,3,3,2,2
27,3,3,3,2,2
28,3,3,3,2,2
29,3,3,3,2,2
30,3,3,3,2,2
31,3,3,3,2,2
32,3,3,3,2,2
33,3,3,3,2,2
34,3,3,3,2,2
35,3,3,3,2,2
36,3,3,3,2,2
37,3,3,3,2,2
38,3,3,3,2,2
39,3,3,3,2,2
40,3,3,3,2,2
41,3,3,3,2,2
42,3,3,3,2,2
43,3,3,3,2,2
44,3,3,3,2,2
45,3,3,3,2,2
46,3,3,3,2,2
47,3,3,3,2,2
48,3,3,3,2,2
49,3,3,3,2,2
50,3,3,3,2,2
51,3,3,3,2,2
52,3,3,3,2,2
53,3,3,3,2,2
54,3,3,3,2,2
55,3,3,3,2,2
56,3,3,3,2,2
57,3,3,3,2,2
58,3,3,3,2,2
59,3,3,3,2,2
60,3,3,3,2,2
61,3,3,3,2,2
62,3,3,3,2,2
63,3,3,3,2,2
64,3,3,3,2,2
65,3,3,3,2,2
66,3,3,3,2,2
67,3,3,3,2,2
68,3,3,3,2,2
69,3,3,3,2,2
70,3,3,3,2,2
71,3,3,3,2,2
72,3,3,3,2,2
73,3,3,3,2,2
74,3,3,3,2,2
75,3,3,3,2,2
76,3,3,3,2,2
77,3,3,3,2,2
78,3,3,3,2,2
79,3,3,3,2,2
80,3,3,3,2,2
81,3,3,3,2,2
82,3,3,3,2,2
83,3,3,3,2,2
84,3,3,3,2,2
85,3,3,3,2,2
86,3,3,3,2,2
87,3,3,3,2,2
88,3,3,3,2,2
89,3,3,3,2,2
90,3,3,3,2,2
91,3,3,3,2,2
92,3,3,3,2,2
93,3,3,3,2,2
94,3,3,3,2,2
95,3,3,3,2,2
96,3,3,3,2,2
97,3,3,3,2,2
98,3,3,3,2,2
99,3,3,3,2,2
100,3,3,3,2,2
101,3,3,3,2,2
102,3,3,3,2,2
103,3,3,3,2,2
104,3,3,3,2,2
105,3,3,3,2,2
106,3,3,3,2,2
107,3,3,3,2,2
108,3,3,3,2,2
109,3,3,3,2,2
110,3,3,3,2,2
111,3,3,3,2,2
112,3,3,3,2,2
113,3,3,3,2,2
114,3,3,3,2,2
115,3,3,3,2,2
116,3,3,3,2,2
117,3,3,3,2,2
118,3,3,3,2,2
119,3,3,3,2,2
120,3,3,3,2,2
121,3,3,3,2,2
122,3,3,3,2,2
123,3,3,3,2,2
124,3,3,3,2,2
125,3,3,3,2,2
126,3,3,3,2,2
127,3,3,3,2,2
128,3,3,3,2,2
129,3,3,3,2,2
130,3,3,3,2,2
131,3,3,3,2,2
132,3,3,3,2,2
133,3,3,3,2,2
134,3,3,3,2,2
135,3,3,3,2,2
136,3,3,3,2,2
137,3,3,3,2,2
138,3,3,3,2,2
139,3,3,3,2,2
140,3,3,3,2,2
141,3,3,3,2,2
142,3,3,3,2,2
143,3,3,3,2,2
144,3,3,3,2,2
145,3,3,3,2,2
146,3,3,3,2,2
147,3,3,3,2,2
148,3,3,3,2,2
149,3,3,3,2,2
150,3,3,3,2,2
151,3,3,3,2,2
152,3,3,3,2,2
153,3,3,3,2,2
154,3,3,3,2,2
155,3,3,3,2,2
156,3,3,3,2,2
157,3,3,3,2,2
158,3,3,3,2,2
159,3,3,3,2,2
160,3,3,3,2,2
161,3,3,3,2,2
162,3,3,3,2,2
163,3,3,3,2,2
164,3,3,3,2,2
165,3,3,3,2,2
167,3,3,3,2,2
168,3,3,3,2,2
169,3,3,3,2,2
170,3,3,3,2,2
171,3,3,3,2,2
172,3,3,3,2,2
173,3,3,3,2,2
174,3,3,3,2,2
175,3,3,3,2,2
176,3,3,3,2,2
177,3,3,3,2,2
178,3,3,3,2,2
179,3,3,3,2,2
180,3,3,3,2,2
