frame,waist,left_hand,right_hand,left_foot,right_foot
0,2,2,2,3,3
1,2,2,2,3,3
2,2,2,2,3,3
3,2,2,2,3,3
4,2,2,2,3,3
5,2,2,2,3,3
6,2,2,2,3,3
7,2,2,2,3,3
8,2,2,2,3,3
9,2,2,2,3,3
10,2,2,2,3,3
11,2,2,2,3,3
12,2,2,2,3,3
13,2,2,2,3,3
14,2,2,2,3,3
15,2,2,2,3,3
16,2,2,2,3,3
17,2,2,2,3,3
18,2,2,2,3,3
19,2,2,2,3,3
20,2,2,2,3,3
21,2,2,2,3,3
22,2,2,2,3,3
23,2,2,2,3,3
24,2,2,2,3,3
25,2,2,2,3,3
26,2,2,2,3,3
27,2,2,2,3,3
28,2,2,2,3,3
29,2,2,2,3,3
30,2,2,2,3,3
31,2,2,2,3,3
32,2,2,2,3,3
33,2,2,2,3,3
34,2,2,2,3,3
35,2,2,2,3,3
36,2,2,2,3,3
37,2,2,2,3,3
38,2,2,2,3,3
39,2,2,2,3,3
40,2,2,2,3,3
41,2,2,2,3,3
42,2,2,2,3,3
43,2,2,2,3,3
44,2,2,2,3,3
45,2,2,2,3,3
46,2,2,2,3,3
47,2,2,2,3,3
48,2,2,2,3,3
49,2,2,2,3,3
50,2,2,2,3,3
51,2,2,2,3,3
52,2,2,2,3,3
53,2,2,2,3,3
54,2,2,2,3,3
55,2,2,2,3,3
56,2,2,2,3,3
57,2,2,2,3,3
58,2,2,2,3,3
59,2,2,2,3,3
60,2,2,2,3,3
61,2,2,2,3,3
62,2,2,2,3,3
63,2,2,2,3,3
64,2,2,2,3,3
65,2,2,2,3,3
66,2,2,2,3,3
67,2,2,2,3,3
68,2,2,2,3,3
69,2,2,2,3,3
70,2,2,2,3,3
71,2,2,2,3,3
72,2,2,2,3,3
73,2,2,2,3,3
74,2,2,2,3,3
75,2,2,2,3,3
76,2,2,2,3,3
77,2,2,2,3,3
78,2,2,2,3,3
79,2,2,2,3,3
80,2,2,2,3,3
81,2,2,2,3,3
82,2,2,2,3,3
83,2,2,2,3,3
84,2,2,2,3,3
85,2,2,2,3,3
86,2,2,2,3,3
87,2,2,2,3,3
88,2,2,2,3,3
89,2,2,2,3,3
90,2,2,2,3,3
91,2,2,2,3,3
92,2,2,2,3,3
93,2,2,2,3,3
94,2,2,2,3,3
95,2,2,2,3,3
96,2,2,2,3,3
97,2,2,2,3,3
98,2,2,2,3,3
99,2,2,2,3,3
100,2,2,2,3,3
101,2,2,2,3,3
102,2,2,2,3,3
103,2,2,2,3,3
104,2,2,2,3,3
105,2,2,2,3,3
106,2,2,2,3,3
107,2,2,2,3,3
108,2,2,2,3,3
109,2,2,2,3,3
110,2,2,2,3,3
111,2,2,2,3,3
112,2,2,2,3,3
113,2,2,2,3,3
114,2,2,2,3,3
115,2,2,2,3,3
116,2,2,2,3,3
117,2,2,2,3,3
118,2,2,2,3,3
119,2,2,2,3,3
120,2,2,2,3,3
121,2,2,2,3,3
122,2,2,2,3,3
123,2,2,2,3,3
124,2,2,2,3,3
125,2,2,2,3,3
126,2,2,2,3,3
127,2,2,2,3,3
128,2,2,2,3,3
129,2,2,2,3,3
130,2,2,2,3,3
131,2,2,2,3,3
132,2,2,2,3,3
133,2,2,2,3,3
134,2,2,2,3,3
135,2,2,2,3,3
136,2,2,2,3,3
137,2,2,2,3,3
138,2,2,2,3,3
139,2,2,2,3,3
140,2,2,2,3,3
141,2,2,2,3,3
142,2,2,2,3,3
143,2,2,2,3,3
144,2,2,2,3,3
145,2,2,2,3,3
146,2,2,2,3,3
147,2,2,2,3,3
148,2,2,2,3,3
149,2,2,2,3,3
150,2,2,2,3,3
151,2,2,2,3,3
152,2,2,2,3,3
153,2,2,2,3,3
154,2,2,2,3,3
155,2,2,2,3,3
156,2,2,2,3,3
157,2,2,2,3,3
158,2,2,2,3,3
159,2,2,2,3,3
160,2,2,2,3,3
161,2,2,2,3,3
162,2,2,2,3,3
163,2,2,2,3,3
164,2,2,2,3,3
165,2,2,2,3,3
167,2,2,2,3,3
168,2,2,2,3,3
169,2,2,2,3,3
170,2,2,2,3,3
171,2,2,2,3,3
172,2,2,2,3,3
173,2,2,2,3,3
174,2,2,2,3,3
175,2,2,2,3,3
176,2,2,2,3,3
177,2,2,2,3,3
178,2,2,2,3,3
179,2,2,2,3,3
180,2,2,2,3,3
